config,range,cost,velocity,result
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^bg,9,3",6.461531,2065.662,11.50393,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,6,3",7.66486,1925.811,11.48452,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------------*gNL3---------------------------^ab^ac^ad^ae^df^ef^cg^bg,0,3",19.36024,1715.602,13.33192,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",7.762965,2093.621,11.77628,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",6.881544,2065.662,12.5639,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",7.161176,2074.025,12.31244,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^ef^cg^eg,7,3",12.24071,2153.521,10.25739,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3--------------------------^ab^ac^ad^ae^df^eg,2,3",4.418831,1718.956,13.21687,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg,7,3",5.430454,1906.215,11.52669,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^bf,6,3",8.669559,1937.143,11.10232,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg,1,3",24.3393,1736.543,11.29463,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------------*gNL3------------------------^ab^ac^ad^ae^df^eg,2,3",5.366398,1724.063,12.75258,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^bf^cg,6,3",10.44636,1956.199,10.61587,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3--^ab^ac^ad^ae^df^eg^bf^cg,6,3",14.2739,1993.863,9.872775,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,6,3",9.224501,1943.214,10.94458,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^df^eg^bg,4,3",74.44537,1802.365,9.877078,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^bf^cg,6,3",5.32361,1894.006,12.82771,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^bf^cg,0,3",23.7853,1720.188,12.60003,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^bf^cg,7,3",10.76014,2124.009,10.89537,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^cf^eg,2,3",74.57327,1985.711,9.106056,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,8,3",8.222281,2111.024,11.32456,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,9,3",7.659708,2111.024,10.43231,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg^bf^gc,7,3",6.75174,1925.811,10.76436,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^bf^gc,7,3",4.082002,1886.958,12.84649,Success
