config,range,cost,velocity,result
"*aMM0*bNM2*cMN1*dLM2*eML1*fMO2*gOM1*hKM1*iMK2*jNN2*kLL0*lLN4*mNL4^ab^ac^ad^ae^cf^bg^dh^ei^bj^ek^dl^bm,25,3",0.0,3702.0,2.961939,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK2++++++++++++++++*eNJ0++++++++++++++++*fMK2----------------*gMJ0++++++++*hNM0++++++++++++++++*iOK0----------------*jOM1--------*kON0----------------*lOO2----------------*mOJ0----------------*nOL3++++++++++++++++*oPL1++++++++++++++++*pPK3--------*qNN2+*rPJ1++++++++++++++++*sLM2++++++++++++++++*tKM1++++++++*uLJ2++++++++++++++++*vPM3----------------*wPN0++++++++++++++++*xOP3----------------^ab^bc^cd^de^df^fg^ah^di^hj^jk^kl^im^cn^no^ip^kq^pr^as^st^gu^ov^kw^lx,70,3",0.0,49372.29,2.42338,CouldNotStabilize
"*aMM0++++++*bNM1+++*cMN1+++*dLM2+++*eML2+++^ab^ac^ad^ae,30,3",4.598794,3734.624,15.62996,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",34.51503,1744.018,10.82541,Success
"*aMM0+*bNM0*cMN0*dLM0*eML1*fOM1++++*gMO2++++*hKM1++++*iMK2++++*jNN3+*kLL3+^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,15,3",0.0,7325.733,24.25756,CouldNotStabilize
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3++*gLL3++*hNL3+^ab^ac^ad^ae^bf^cf^dg^eg^eh^bh,10,3",0.0,4029.439,4.656999,CouldNotStabilize
"*aMM0-----------*bNM2++*cMN1++*dLM2++*eML1++*fMO1+*gKM2+*hMK1+*iOM2+*jNL3+*kLN3+*lNN0-----*mLL0-------*nKN4*oNK4*pLO4*qOL4^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^bl^em^cl^dm^kc^jb^gn^ho^kp^pf^jq^qi,15,3",0.04666027,2780.774,0.4584472,Success
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,10,3",5.468288,4145.701,18.55223,Success
"*aMM3+++++++*bNM0*cMN0*dLM0*eML0*fOM1++++*gMO2++++*hKM1++++*iMK2++++*jNN3+*kLL3+^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,15,3",0.0,7181.116,25.27899,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK1++++++++*eNJ0++++++++++++++++*fOK2----------------*gMK2----------------*hNM2----------------*iOL1++++++++*jPL1++++++++++++++++*kLM2++++++++++++++++*lOJ1++++++++*mMJ3++++++++++++++++*nKM1++++++++++++++++*oPJ2++++++++++++++++*pKN2++++++++++++++++*qLN4----------------*rMN4----------------*sLJ4*tKJ3----------------*uJJ1++++++++++++++++*vLL3++++++++++++++++*wLO1--------*xLK0++++++++++++++++*yPK3++++++++++++++++*zPM3--------^ab^bc^cd^de^df^bg^ah^fi^ij^ak^fl^gm^kn^lo^np^pq^ar^ms^st^tu^bv^qw^vx^fy^jz,70,3",0.0,44859.06,6.53252,CouldNotStabilize
