config,range,cost,velocity,result
"*aMM0+++++*bNM3*cMN3*dLM3*eML3*fNN1++*gLL1++*hLN4*iNL2+^ab^ac^ad^ae^bf^cf^eg^dg^ch^dh^bi^ei,5,3",-0.2875308,3384.041,4.794224,CouldNotStabilize
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1++*gMO2+++*hKM1+++*iMK2+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.00144496,2904.372,0.436811,CouldNotStabilize
"*aMM0+++*bNM2++*cMN1++*dLM2+*eML1++*fLN3*gNL3^ab^ac^ad^ae^cf^bg,10,0",1.574642,2891.749,9.317869,Success
"*aMM0++*bNM2+++*cMN1++*dLM2+++*eML1+++*fLN0*gNL3+^ab^ac^ad^ae^cf^bg,29,3",-0.6226449,4209.334,20.2544,CouldNotStabilize
"*aMM0+++*bNM1+*cMN1+*dLM2+*eML1+*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0+*kNL0+^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,60,3",5.026632,6577.146,30.7208,HitBoundary
"*aMM0+++++*bNM0*cMN3+*dLM3++++*eML1+++++*fOM1+++++*gMO2+++++*hKM2+++++*iMK1+++++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.009179389,6098.721,29.0602,CouldNotStabilize
"*aMM0-*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^gc^ge,5,3",38.27256,5032.441,36.36224,Success
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fMO1+*gKM2+*hMK1+*iOM2+*jNL3+*kLN3+*lNN0------*mLL1---------*nKN4*oNK4*pLO4*qOL4^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^bl^em^cl^dm^kc^jb^gn^ho^kp^pf^jq^qi,15,3",-0.001656843,3096.884,0.6999698,CouldNotStabilize
"*aMM0++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1++*gKM2++*hMK1++*iOM2++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,55,3",-0.02697738,8896.391,0.009445318,CouldNotStabilize
"*aMM0+++++*bNM2++*cMN1++*dLM2+*eML1*fOM4*gNN4*hNL4*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,7,2",-0.1410178,3221.739,14.26707,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^cf^bg,2,3",13.26713,1831.877,10.86098,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3*gNL0^ab^ac^ad^ae^df^eg^fc^gb,0,3",-0.7531838,4950.301,45.08439,CouldNotStabilize
"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^dk,60,3",13.17319,6325.429,25.4099,Success
"*aMM4++++*bNM0+++++*cMN3++++*dLM3++++*eML3++++*fOM1++++*gMO2++++*hKM1+++*iMK2+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.002078391,3916.314,19.5383,CouldNotStabilize
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1*gMO2++++*hKM1++++++*iMK2++++++^ab^ac^ad^ae^bf^cg^dh^ei,20,3",-0.5833604,3486.685,22.51715,CouldNotStabilize
"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^gc,40,3",-0.4553544,2265.721,0.0002818138,CouldNotStabilize
"*aMM0*bNM2++*cMN1*dLM2*eML1*fOM2*gMO2*hKM1*iMK2*jKL3*kLK3*lOL2*mNK0*nON2*oNO3*pLO3*qKN3^ab^ac^ad^ae^bf^cg^dh^ei^fl^hj^ik^im^fn^go^gp^hq,30,3",-0.5542033,4247.004,7.314516,CouldNotStabilize
"*aMM0+++++*bNM2++*cMN2++*dLM2++*eML1++*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,3,1",-0.007781991,3247.95,9.238609,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN1*gLL0^ab^ac^ad^ae^bf^cf^dg^eg,15,3",-0.06609963,4948.201,4.039005,CouldNotStabilize
"*aMM0+*bNM3+++*cMN3+++*dLM3++*eML3++*fOM1*gMO2+++*hKM1+++*iMK2+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.008920779,2828.045,32.32365,CouldNotStabilize
"*aMM0++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1*gMO3+++++*hMK3+++++*iKM3+++++^ab^ac^ad^ae^bf^cg^eh^di,5,3",-0.0278442,3172.276,15.50865,CouldNotStabilize
"*aMM0+++*bNM2++*cMN1+*dLM2*eML1*fLN3*gNL3^ab^ac^ad^ae^cf^bg,20,0",-0.5414585,2758.748,6.061503,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNM0++++*eNK1----------------^ab^bc^ad^ce,70,3",-0.1768228,9612.6,4.828436,CouldNotStabilize
"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,30,3",26.73918,8959.303,19.29583,Success
"*aMM0+++++*bNM2+++++*cMN1+++*dLM2+++++*eML1+++*fLL3++++*gNN3++*hLN3*iNL3^ab^ac^ad^ae^df^bg^dh^bi,10,3",9.495014,4156.975,9.502087,Success
"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf,4,3",14.68837,2244.209,12.40055,Success
"*aMM0+++++*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM2*gMO1*hKM2+++*iMK1+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.4446031,3603.367,7.049123,CouldNotStabilize
"*aMM0+*bNM2++*cMN1+++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,53,3",17.98216,6776.159,26.79554,Success
"*aMM0+++++*bNM3+*cMN3+*dLM3*eML3*fOM1*gMO2*hKM1*iMK2+^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.4316331,3338.179,6.888477,CouldNotStabilize
"*aMM0+++*bNM2+++*cMN1++*dLM2+++*eML1+++*fLN3+*gNL3+++++++*hNK1*iOL0^ab^ac^ad^ae^cf^bg^gh^gi,12,0",-0.4989464,4616.492,35.7966,CouldNotStabilize
"*aMM0-*bNM2++*cMN1+*dLM2+*eML1+*fOM2+*gNN0-----*hNL3*iMO1*jLN1*kKM2*lLL2*mMK1*nPM4*oON4*pOL3*qNO4*rMP4*sLO3*tKN3*uJM4*vKL4*wNK3*xLK4*yMJ4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^fn^fo^fp^iq^ir^is^kt^ku^kv^mw^mx^my^cg^dj^eh^el,10,3",-0.0008321585,3480.577,3.638051,CouldNotStabilize
"*aMM0++*bNM2*cMN1*dLM2*eML1*fNN3*gLL3^ab^ac^ad^ae^cf^bf^eg^dg,20,3",-0.5214673,2452.178,6.665741e-05,CouldNotStabilize
"*aMM0+++*bNM1++*cMN2++*dLM1++*eML2++*fLN3++*gNL3++^ab^ac^ad^ae^cf^eg,5,3",17.14583,2950.178,9.741157,Success
"*aMM0*bNM2+*cMN1*dLM2*eML0*fLN4*gNL4^ab^ac^ad^ae^cf^bg,13,0",-0.6233624,3260.688,6.276801,CouldNotStabilize
"*aMM4*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0--*gNL0--^ab^ac^ad^ae^cf^eg,5,3",-0.03367983,3156.963,8.331261,CouldNotStabilize
"*aMM0++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN3*gNL0*hNN2*iLL4^ab^ac^ad^ae^cf^eg^bf^dg^ch^dh^ei,10,3",-0.5296507,6834.538,42.31429,CouldNotStabilize
