config,range,cost,velocity,result
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------*gNL3--------^ab^ac^ad^ae^df^ef^bg^bg,38,3",-0.3083084,1795.73,5.644146e-05,CouldNotStabilize
"*aMM4*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^df^eg^fc^ge,35",-0.03849938,4165.036,4.964199,CouldNotStabilize
"*aMM0*bNM0*cMN1*dLM0*eML4*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,7,2",-0.7299891,4478.0,0.2254609,CouldNotStabilize
"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fOM1*gMO2+*hKM1*iMK2+^ab^ac^ad^ae^bf^cg^dh^ei,10,0",2.444031,2923.352,14.71566,Success
"*aMM0+++*bNM2+++*cMN1+++*dLM2+++*eML1+*fLN3+*gNL3+^ab^ac^ad^ae^cf^bg,12,0",-0.01405796,3067.574,4.882355,CouldNotStabilize
"*aMM0+++*bNM2+++*cMN1++*dLM2+++*eML1+++*fLN3+*gNL3+^ab^ac^ad^ae^df^eg,5,3",-0.0001442236,3107.387,0.3261695,CouldNotStabilize
"*aMM0++++++++++++*bNM4+++*cMN4+++*dLM4+++*eML4++++++^ab^ab^ac^ad^ae,5,3",-0.01828294,4924.998,0.05234096,CouldNotStabilize
"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1++++*fMK2+++*gKM2+++^ab^ac^ad^ae^ef^dg,10,3",8.128101,5113.763,12.43357,Success
"*aMM0*bNM2++*cMN1++*dLM2++*eML1++*fLN3--*gNL3--^ab^ac^ad^ae^cf^bg,10,3",1.214374,2320.923,9.17032,Success
"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++^ab^ac^ad^ae^df^eg^cf^gb,15,3",35.32051,5498.094,34.01263,Success
"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,60,3",15.08559,7112.625,19.25624,Success
"*aMM0++*bNM2+*cMN1+*dLM2+*eML1+*fLN3------*gNL3------^ab^ac^ad^ae^cf^eg,10,3",7.831799,2510.911,11.28658,Success
"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL3+*kLN3+*lNN0*mLL0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^cl^em,10,3",19.85929,5970.733,18.78708,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3--------------------^ab^ac^ad^ae^df^eg,5,3",2.469055,1738.358,11.82575,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+*eML1+++*fOM1+++*gMO2+++*hKM1++*iMK2++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-5.173056e-06,4063.951,0.1073049,CouldNotStabilize
"*aMM0+++++*bNM3*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,20,3",-0.7765784,3856.864,9.487605,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3*gLL3*iNL4*hLN0^ab^ac^ad^ae^cf^eg^bf^dg^ch^bh^di^ei,10,3",-0.7352771,5030.402,26.63493,CouldNotStabilize
"*aMM0+++++*bNM2+*cMN1++*dLM2++*eML1++^ab^ac^ad^ae,10,3",-2.116867e-05,3208.138,0.4011993,CouldNotStabilize
"*aMM0*bNM0*cMN4*dLM4*eML4*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4*nPM4*oON4*pOL4*qNO4*rMP4*sLO4*tKN4*uJM4*vKL4*wNK4*xLK4*yMJ4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^fn^fo^fp^iq^ir^is^kt^ku^kv^mw^mx^my^cg^dj^eh^el,40,3",-0.8116342,3000.0,1.413948e-05,CouldNotStabilize
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fMO1++*gKM2++*hMK1++*iOM2++*jNL0+++++*kLN0+++++*lMP1+++*mPM2+++*nJM2+++*oMJ1+++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3",2.772308,8336.901,26.82251,HitBoundary
"*aMM0++++++++++*bNM2+++++++*cMN1+++++++*dLM2+++++++*eML1+++++++*fMO2+++*gOM1++*hKM1++*iMK2^ab^ac^ad^ae^cf^bg^dh^ei,5,3",-8.894974e-05,7276.75,0.1900252,CouldNotStabilize
"*aMM0+++*bNM2+++*cMN1+++*dLM2*eML1++*fOM4^ab^ac^ad^ae^bf,13,3",-0.4046738,2815.985,25.22898,CouldNotStabilize
